Timestamp,IP Address,Method,Endpoint,Status,Country,Sports Activity,Device,Browser,Duration
2024-05-23 01:34:17,53.12.112.24,POST,/images/games.jpg,304,Sierra Leone,Volleyball,Tablet,Firefox,0.0
2024-05-23 04:31:40,229.39.213.181,POST,/images/games.jpg,200,Niger,Football,Mobile,Firefox,10643.0
2024-05-22 22:40:41,95.222.224.240,GET,/football.html,304,Guadeloupe,Tennis,Mobile,Firefox,-21059.0
2024-05-22 17:40:18,207.188.97.254,POST,/searchsports.php,404,Benin,Basketball,Desktop,Safari,-18023.0
2024-05-22 18:09:21,6.197.134.140,GET,/searchsports.php,200,Singapore,Cricket,Tablet,Safari,1743.0
2024-05-22 21:02:42,119.125.188.227,GET,/football.html,200,Korea,Volleyball,Tablet,Chrome,10401.0
2024-05-23 04:35:17,87.130.237.148,GET,/images/games.jpg,200,Philippines,Running,Desktop,Chrome,27155.0
2024-05-22 08:23:57,255.117.223.255,GET,/football.html,500,Mayotte,Baseball,Mobile,Chrome,-72680.0
2024-05-22 23:50:06,158.50.236.75,GET,/index.html,404,Algeria,Football,Tablet,Firefox,55569.0
2024-05-22 09:37:55,153.19.182.39,GET,/searchsports.php,404,Mayotte,Golf,Tablet,Chrome,-51131.0
2024-05-22 06:28:20,145.76.145.11,POST,/searchsports.php,304,Singapore,Running,Mobile,Chrome,-11375.0
2024-05-22 11:54:05,38.38.71.152,GET,/images/games.jpg,200,Benin,Running,Tablet,Edge,19545.0
2024-05-23 04:34:50,1.40.82.176,POST,/searchsports.php,200,Algeria,Golf,Mobile,Safari,60045.0
2024-05-22 07:38:56,102.85.105.124,POST,/images/games.jpg,404,Korea,Baseball,Desktop,Firefox,-75354.0
2024-05-22 07:53:30,60.168.105.139,GET,/index.html,500,Denmark,Tennis,Mobile,Safari,874.0
2024-05-22 10:41:09,31.148.3.94,POST,/index.html,500,Philippines,Baseball,Tablet,Safari,10059.0
2024-05-22 21:19:40,224.234.70.224,GET,/football.html,304,San Marino,Volleyball,Tablet,Firefox,38311.0
2024-05-22 09:23:16,77.234.62.76,GET,/football.html,500,Paraguay,Tennis,Tablet,Safari,-42984.0
2024-05-23 07:33:59,94.86.94.95,POST,/index.html,404,Niger,Basketball,Tablet,Edge,79843.0
2024-05-23 00:57:17,211.159.70.126,GET,/searchsports.php,404,Philippines,Tennis,Desktop,Chrome,-23802.0
2024-05-22 14:00:53,177.156.91.122,POST,/football.html,304,Mayotte,Football,Desktop,Chrome,-39384.0
2024-05-22 05:40:33,34.249.15.30,POST,/images/games.jpg,200,Senegal,Volleyball,Tablet,Safari,-30020.0
2024-05-23 02:42:27,124.231.216.105,POST,/searchsports.php,500,Niue,Cricket,Mobile,Edge,75714.0
2024-05-22 19:57:15,110.152.95.63,GET,/searchsports.php,500,Cape Verde,Cricket,Tablet,Chrome,-24312.0
2024-05-22 06:02:51,97.139.105.27,GET,/football.html,404,Saudi Arabia,Cycling,Desktop,Edge,-50064.0
2024-05-22 09:52:46,133.250.3.17,GET,/football.html,404,French Polynesia,Swimming,Desktop,Edge,13795.0
2024-05-22 08:58:02,160.185.164.212,POST,/searchsports.php,500,Guadeloupe,Baseball,Mobile,Firefox,-3284.0
2024-05-22 10:00:50,135.178.126.198,GET,/images/games.jpg,500,Benin,Basketball,Desktop,Firefox,3768.0
2024-05-22 21:03:02,38.128.141.115,GET,/football.html,200,Eritrea,Basketball,Tablet,Safari,39732.0
2024-05-22 07:37:53,30.86.187.66,POST,/images/games.jpg,200,Belize,Running,Tablet,Chrome,-48309.0
2024-05-22 16:43:03,51.161.238.232,POST,/football.html,500,Nauru,Baseball,Mobile,Edge,32710.0
2024-05-22 19:01:46,160.115.44.2,POST,/index.html,304,Dominica,Cycling,Mobile,Safari,8323.0
2024-05-22 12:39:43,182.48.17.21,POST,/searchsports.php,500,American Samoa,Golf,Tablet,Edge,-22923.0
2024-05-23 07:59:38,18.111.63.87,GET,/football.html,404,Norfolk Island,Cycling,Mobile,Edge,69595.0
2024-05-23 00:10:41,148.239.150.230,GET,/searchsports.php,200,French Polynesia,Basketball,Tablet,Safari,-28137.0
2024-05-23 05:57:14,180.206.209.192,GET,/searchsports.php,304,Norfolk Island,Tennis,Mobile,Chrome,20793.0
2024-05-23 05:37:49,140.162.58.89,POST,/football.html,500,Norfolk Island,Cricket,Mobile,Firefox,-1165.0
2024-05-22 16:33:17,37.60.177.56,POST,/index.html,200,Svalbard & Jan Mayen Islands,Baseball,Desktop,Firefox,-47072.0
2024-05-23 00:19:10,176.120.6.94,POST,/index.html,404,Jamaica,Tennis,Desktop,Edge,27953.0
2024-05-22 16:35:18,171.16.153.59,GET,/searchsports.php,404,Nauru,Swimming,Tablet,Chrome,-27832.0
2024-05-23 04:47:00,131.191.66.214,POST,/football.html,304,Wallis and Futuna,Volleyball,Tablet,Firefox,43902.0
2024-05-22 15:11:49,113.75.66.26,GET,/index.html,404,North Macedonia,Football,Mobile,Firefox,-48911.0
2024-05-23 02:59:21,239.228.161.132,GET,/football.html,500,France,Running,Mobile,Firefox,42452.0
2024-05-23 04:04:19,218.239.148.89,GET,/index.html,500,Eritrea,Cricket,Tablet,Safari,3898.0
2024-05-22 07:26:28,10.163.114.213,POST,/index.html,200,Myanmar,Football,Tablet,Firefox,-74271.0
2024-05-22 16:12:54,209.240.199.85,GET,/images/games.jpg,404,Benin,Golf,Mobile,Edge,31586.0
2024-05-22 08:55:39,37.111.190.184,POST,/index.html,304,Tajikistan,Cycling,Mobile,Safari,-26235.0
2024-05-22 04:55:53,0.67.64.86,POST,/searchsports.php,404,Swaziland,Tennis,Desktop,Edge,-14386.0
2024-05-22 15:06:09,52.127.190.66,GET,/football.html,500,French Polynesia,Football,Mobile,Firefox,36616.0
2024-05-22 13:41:38,211.93.33.63,GET,/searchsports.php,500,Sudan,Golf,Tablet,Chrome,-5071.0
2024-05-22 08:00:10,129.79.124.236,POST,/searchsports.php,304,Afghanistan,Volleyball,Desktop,Firefox,-20488.0
2024-05-22 15:37:29,166.154.64.50,GET,/index.html,500,Malawi,Baseball,Mobile,Chrome,27439.0
2024-05-22 12:06:45,55.153.75.126,GET,/images/games.jpg,304,Sierra Leone,Running,Tablet,Chrome,-12644.0
2024-05-23 02:08:57,223.75.157.185,GET,/images/games.jpg,200,Malawi,Basketball,Mobile,Firefox,50532.0
2024-05-22 05:17:01,13.6.248.12,GET,/football.html,404,Dominica,Volleyball,Tablet,Edge,-75116.0
2024-05-22 21:59:16,170.55.157.171,GET,/football.html,500,Portugal,Basketball,Desktop,Chrome,60135.0
2024-05-22 12:55:43,241.184.170.18,POST,/images/games.jpg,404,Qatar,Golf,Desktop,Edge,-32613.0
2024-05-22 23:25:18,14.27.164.68,POST,/index.html,200,Niue,Cycling,Desktop,Chrome,37775.0
2024-05-22 13:01:04,212.32.19.191,GET,/football.html,500,United States Minor Outlying Islands,Running,Mobile,Safari,-37454.0
2024-05-23 05:09:42,82.138.34.195,GET,/football.html,200,Niger,Basketball,Tablet,Edge,58118.0
2024-05-22 22:19:50,252.44.166.111,POST,/images/games.jpg,500,Belize,Tennis,Tablet,Safari,-24592.0
2024-05-22 14:40:33,170.96.151.168,POST,/images/games.jpg,500,Mayotte,Golf,Mobile,Edge,-27557.0
